GEX Reads mapped to genome	FRAC_MAP_GENOME_ALL	CELLRANGER	GEX	Fraction of sequenced reads that map to the genome.
GEX Reads with TSO	FRAC_READS_TSO	CELLRANGER	GEX	Fraction of reads with an alignment score of ≥ 20 for the template switch oligo (TSO) sequence.
GEX Sequenced read pairs	N_READS	CELLRANGER	GEX	Total number of sequenced read pairs assigned to the sample.
GEX Total genes detected	N_GENES_TOTAL	CELLRANGER	GEX	The number of genes with at least one UMI count in any cell barcode.
GEX Valid UMIs	N_VALID_UMI	CELLRANGER	GEX	Fraction of read pairs with valid UMIs i.e. without Ns and are not homopolymers.
GEX Valid barcodes	N_VALID_BC	CELLRANGER	GEX	Fraction of read pairs with barcodes that match the inclusion list after error correction.
Started with cells	N_CELLS_START	CELLRANGER	ATAC_DEMUX	
Started with genes	N_GENES_START	CELLRANGER	ATAC_DEMUX	
gene_ids with an associated gene_name	N_GENES_UNIQ	CELLRANGER	ATAC_DEMUX	Number of genes retained after removing gene IDs without a gene name
total UMI counts lost to gene ids wo names	TOTAL_UMI_COUNTS_LOST	CELLRANGER	ATAC_DEMUX	Total UMI counts removed due to previous filter
avg UMI counts lost per cell	AVG_UMI_COUNTS_LOST_PER_CELL	CELLRANGER	ATAC_DEMUX	Avg UMI counts lost per cell due to previous filter
avg UMI counts lost per gene	AVG_UMI_COUNTS_LOST_PER_GENE	CELLRANGER	ATAC_DEMUX	Avg UMI counts lost per gene due to previous filter
min #genes expressed per cell	THRESH_N_GENES_PER_CELL	CELLRANGER	ATAC_DEMUX	min no. of genes to be expressed by a cell to pass filter (Basic Filter)
min #cells expressing per gene	THRESH_N_CELLS_EXPRESS_GENE	CELLRANGER	ATAC_DEMUX	min no. of cells required to express a gene for it to pass filter (Basic Filter)
total UMI counts lost to gene ids wo names	TOTAL_UMI_COUNTS_LOST_WO_NAMES	CELLRANGER	ATAC_DEMUX	Total UMI counts that will be lost to genes without a name, if removed
Remaining cells after previous filter	N_CELLS_AFTER_BASIC_FILT	CELLRANGER	ATAC_DEMUX	Remaining cells after applying Basic Filter
Remaining genes after previous filter	N_GENES_AFTER_BASIC_FILT	CELLRANGER	ATAC_DEMUX	Remaining genes after applying Basic Filter
max percent mito content per cell	THRESH_MAX_MITO_PERCENT	CELLRANGER	ATAC_DEMUX	max. mitochondrial genes percent per cell
cells with low mito percent	N_CELLS_LOW_MITO_PERCENT	CELLRANGER	ATAC_DEMUX	cells that pass the mitochondrial content filter
Doublets #cells_vs	N_DOUBLET_CELLS_VS	CELLRANGER	ATAC_DEMUX_VS	doublet cells as identified by vireoSNP
Negative #cells_vs	N_NEGATIVE_CELLS_VS	CELLRANGER	ATAC_DEMUX_VS	negative cells as identified by vireoSNP
After vs demultiplexing #cells	N_CELLS_AFTER_DEMUX_VS	CELLRANGER	ATAC_DEMUX_VS	Remaining cells after vireoSNP demultiplexing
Started with cells	N_CELLS_START	CELLRANGER	GEX_DEMUX	
Started with genes	N_GENES_START	CELLRANGER	GEX_DEMUX	
gene_ids with an associated gene_name	N_GENES_UNIQ	CELLRANGER	GEX_DEMUX	Number of genes retained after removing gene IDs without a gene name
total UMI counts lost to gene ids wo names	TOTAL_UMI_COUNTS_LOST	CELLRANGER	GEX_DEMUX	Total UMI counts removed due to previous filter
avg UMI counts lost per cell	AVG_UMI_COUNTS_LOST_PER_CELL	CELLRANGER	GEX_DEMUX	Avg UMI counts lost per cell due to previous filter
avg UMI counts lost per gene	AVG_UMI_COUNTS_LOST_PER_GENE	CELLRANGER	GEX_DEMUX	Avg UMI counts lost per gene due to previous filter
min #genes expressed per cell	THRESH_N_GENES_PER_CELL	CELLRANGER	GEX_DEMUX	min no. of genes to be expressed by a cell to pass filter (Basic Filter)
min #cells expressing per gene	THRESH_N_CELLS_EXPRESS_GENE	CELLRANGER	GEX_DEMUX	min no. of cells required to express a gene for it to pass filter (Basic Filter)
total UMI counts lost to gene ids wo names	TOTAL_UMI_COUNTS_LOST_WO_NAMES	CELLRANGER	GEX_DEMUX	Total UMI counts that will be lost to genes without a name, if removed
Remaining cells after previous filter	N_CELLS_AFTER_BASIC_FILT	CELLRANGER	GEX_DEMUX	Remaining cells after applying Basic Filter
Remaining genes after previous filter	N_GENES_AFTER_BASIC_FILT	CELLRANGER	GEX_DEMUX	Remaining genes after applying Basic Filter
max percent mito content per cell	THRESH_MAX_MITO_PERCENT	CELLRANGER	GEX_DEMUX	max. mitochondrial genes percent per cell
cells with low mito percent	N_CELLS_LOW_MITO_PERCENT	CELLRANGER	GEX_DEMUX	cells that pass the mitochondrial content filter
Doublets #cells_vs	N_DOUBLET_CELLS_VS	CELLRANGER	GEX_DEMUX_VS	doublet cells as identified by vireoSNP
Negative #cells_vs	N_NEGATIVE_CELLS_VS	CELLRANGER	GEX_DEMUX_VS	negative cells as identified by vireoSNP
After vs demultiplexing #cells	N_CELLS_AFTER_DEMUX_VS	CELLRANGER	GEX_DEMUX_VS	Remaining cells after vireoSNP demultiplexing
ACCUMULATION_LEVEL	ACCUMULATION_LEVEL	CELLRANGER	GEX_GC	
READS_USED	READS_USED	CELLRANGER	GEX_GC	
WINDOW_SIZE	WINDOW_SIZE	CELLRANGER	GEX_GC	
TOTAL_CLUSTERS	TOTAL_CLUSTERS	CELLRANGER	GEX_GC	
ALIGNED_READS	ALIGNED_READS	CELLRANGER	GEX_GC	
AT_DROPOUT	AT_DROPOUT	CELLRANGER	GEX_GC	
GC_DROPOUT	GC_DROPOUT	CELLRANGER	GEX_GC	
GC_NC_0_19	GC_NC_0_19	CELLRANGER	GEX_GC	
GC_NC_20_39	GC_NC_20_39	CELLRANGER	GEX_GC	
GC_NC_40_59	GC_NC_40_59	CELLRANGER	GEX_GC	
GC_NC_60_79	GC_NC_60_79	CELLRANGER	GEX_GC	
GC_NC_80_100	GC_NC_80_100	CELLRANGER	GEX_GC	
LIBRARY	LIBRARY	CELLRANGER	GEX_GC	
READ_GROUP	READ_GROUP	CELLRANGER	GEX_GC	
PF_BASES	PF_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PF_ALIGNED_BASES	PF_ALIGNED_BASES	CELLRANGER	GEX_RNASEQMETRIC	
RIBOSOMAL_BASES	RIBOSOMAL_BASES	CELLRANGER	GEX_RNASEQMETRIC	
CODING_BASES	CODING_BASES	CELLRANGER	GEX_RNASEQMETRIC	
UTR_BASES	UTR_BASES	CELLRANGER	GEX_RNASEQMETRIC	
INTRONIC_BASES	INTRONIC_BASES	CELLRANGER	GEX_RNASEQMETRIC	
INTERGENIC_BASES	INTERGENIC_BASES	CELLRANGER	GEX_RNASEQMETRIC	
IGNORED_READS	IGNORED_READS	CELLRANGER	GEX_RNASEQMETRIC	
CORRECT_STRAND_READS	CORRECT_STRAND_READS	CELLRANGER	GEX_RNASEQMETRIC	
INCORRECT_STRAND_READS	INCORRECT_STRAND_READS	CELLRANGER	GEX_RNASEQMETRIC	
NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	CELLRANGER	GEX_RNASEQMETRIC	
NUM_R2_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	CELLRANGER	GEX_RNASEQMETRIC	
NUM_UNEXPLAINED_READS	NUM_UNEXPLAINED_READS	CELLRANGER	GEX_RNASEQMETRIC	
PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R1_TRANSCRIPT_STRAND_READS	CELLRANGER	GEX_RNASEQMETRIC	
PCT_R2_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	CELLRANGER	GEX_RNASEQMETRIC	
PCT_RIBOSOMAL_BASES	PCT_RIBOSOMAL_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PCT_CODING_BASES	PCT_CODING_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PCT_UTR_BASES	PCT_UTR_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PCT_INTRONIC_BASES	PCT_INTRONIC_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PCT_INTERGENIC_BASES	PCT_INTERGENIC_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PCT_MRNA_BASES	PCT_MRNA_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PCT_USABLE_BASES	PCT_USABLE_BASES	CELLRANGER	GEX_RNASEQMETRIC	
PCT_CORRECT_STRAND_READS	PCT_CORRECT_STRAND_READS	CELLRANGER	GEX_RNASEQMETRIC	
MEDIAN_CV_COVERAGE	MEDIAN_CV_COVERAGE	CELLRANGER	GEX_RNASEQMETRIC	
MEDIAN_5PRIME_BIAS	MEDIAN_5PRIME_BIAS	CELLRANGER	GEX_RNASEQMETRIC	
MEDIAN_3PRIME_BIAS	MEDIAN_3PRIME_BIAS	CELLRANGER	GEX_RNASEQMETRIC	
MEDIAN_5PRIME_TO_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	CELLRANGER	GEX_RNASEQMETRIC	
LIBRARY	LIBRARY	CELLRANGER	GEX_RNASEQMETRIC	
READ_GROUP	READ_GROUP	CELLRANGER	GEX_RNASEQMETRIC	
