Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
arrayhelpers	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-0			methods, utils, svUnit				GPL					no	4.1.0
arrow	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	5.0.0.2		R (>= 3.3)	"assertthat, bit64 (>= 0.9-7), methods, purrr, R6, rlang,
stats, tidyselect, utils, vctrs"		"decor, distro, dplyr, hms, knitr, lubridate, pkgload,
reticulate, rmarkdown, stringi, stringr, testthat, tibble,
withr"		Apache License (>= 2.0)					yes	4.1.0
arules	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.6-8		R (>= 3.4.0), Matrix (>= 1.2-0)	stats, methods, graphics, utils		pmml, XML, arulesViz, arulesCBA, testthat		GPL-3					yes	4.1.0
asbio	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.6-7		R (>= 2.15), tcltk	"scatterplot3d, pixmap, plotrix, mvtnorm, deSolve, lattice,
combinat, multcompView, grDevices, graphics, stats, utils,
gWidgets2, gWidgets2tcltk"		akima, boot, tkrplot		GPL (>= 2)					no	4.1.0
ash	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-15							GPL (>= 2)					yes	4.1.0
ashr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.2-47		R (>= 3.1.0)	"Matrix, stats, graphics, Rcpp (>= 0.10.5), truncnorm, mixsqp,
SQUAREM, etrunct, invgamma"	Rcpp	testthat, knitr, rmarkdown, ggplot2, REBayes		GPL (>= 3)					yes	4.1.0
askpass	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1			sys (>= 2.1)		testthat		MIT + file LICENSE					yes	4.1.0
assertthat	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.1			tools		testthat, covr		GPL-3					no	4.1.0
attempt	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.1			rlang		testthat, knitr, rmarkdown, curl		MIT + file LICENSE					no	4.1.0
aws.signature	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.6.0			digest, base64enc		testthat (>= 2.1.0), aws.ec2metadata (>= 0.1.6)		GPL (>= 2)					no	4.1.0
babelwhale	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.1		R (>= 3.0.0)	crayon, dplyr, dynutils, processx, purrr, utils		testthat		GPL-3					no	4.1.0
backports	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.1		R (>= 3.0.0)					GPL-2 | GPL-3					yes	4.1.0
base64enc	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-3		R (>= 2.9.0)				png	GPL-2 | GPL-3					yes	4.1.0
base64url	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4			backports (>= 1.1.0)		"base64enc, checkmate, knitr, microbenchmark, openssl,
rmarkdown, testthat"		GPL-3					yes	4.1.0
basilisk	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4.0			"utils, methods, parallel, reticulate, dir.expiry,
basilisk.utils"		knitr, rmarkdown, BiocStyle, testthat, callr		GPL-3					no	4.1.0
basilisk.utils	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4.0			utils, methods, tools, dir.expiry		knitr, rmarkdown, BiocStyle, testthat		GPL-3					no	4.1.0
batch	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-5		R (>= 2.14)			parallel		GPL					no	4.1.0
batchtools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.9.15		R (>= 3.0.0)	"backports (>= 1.1.2), base64url (>= 1.1), brew, checkmate (>=
1.8.5), data.table (>= 1.11.2), digest (>= 0.6.9), fs (>=
1.2.0), parallel, progress (>= 1.1.1), R6, rappdirs, stats,
stringi, utils, withr (>= 2.0.0)"		"debugme, doParallel, doMPI, e1071, foreach, future,
future.batchtools, knitr, parallelMap, ranger, rmarkdown,
rpart, snow, testthat, tibble"		LGPL-3					yes	4.1.0
bayesm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.1-4		R (>= 3.2.0)	Rcpp (>= 0.12.0), utils, stats, graphics, grDevices	Rcpp, RcppArmadillo	knitr, rmarkdown		GPL (>= 2)					yes	4.1.0
bayesplot	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.8.0		R (>= 3.1.0)	"dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils"		"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr"		GPL (>= 3)					no	4.1.0
BayesX	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3-1		shapefiles	sp, maptools, colorspace, coda, splines, methods		spdep, akima, gpclib, rgeos		GPL-2 | GPL-3					no	4.1.0
BB	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2019.10-1		R (>= 2.6.1)	stats, quadprog		setRNG, survival, Hmisc, numDeriv		GPL-3					no	4.1.0
bbmle	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.23.1		R (>= 3.0.0), stats4	"stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm"		"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat"		GPL					no	4.1.0
BDgraph	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.64			igraph		ssgraph, huge, pROC, ggplot2, tmvtnorm		GPL (>= 2)					yes	4.1.0
bdsmatrix	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.3-4		methods, R (>= 2.0.0)					LGPL-2					yes	4.1.0
BEDMatrix	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0.3		R (>= 3.0.2)	methods, crochet (>= 2.3.0)		data.table, LinkedMatrix, tinytest		MIT + file LICENSE					yes	4.1.0
bedr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.7		R (>= 3.0)	"testthat (>= 0.7.1), VennDiagram (>= 1.6.4), data.table (>=
1.8.11), R.utils (>= 2.0.2), yaml (>= 2.1.10), parallel, grid"		knitr (>= 1.4), rmarkdown (>= 0.9.5)		GPL-2					no	4.1.0
benchr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.5			Rcpp (>= 0.12.11), RcppProgress, stats, graphics	Rcpp, RcppProgress	tinytest, ggplot2 (>= 3.3.0)		GPL (>= 2)					yes	4.1.0
bestglm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.37.3		R (>= 3.1.0), leaps	lattice, glmnet, grpreg, pls		MASS	caret	GPL (>= 2)					yes	4.1.0
betareg	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.1-4		R (>= 3.0.0)	"graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich"		car, lattice, partykit, strucchange		GPL-2 | GPL-3					no	4.1.0
BH	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.75.0-0							BSL-1.0					no	4.1.0
BiasedUrn	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.07							GPL-3					yes	4.1.0
bibtex	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.4.2.3		R (>= 3.0.2)	stringr, utils		testthat		GPL (>= 2)					yes	4.1.0
bigassertr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.4					testthat, covr		GPL-3					no	4.1.0
biglm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.9-2.1		DBI, methods			RSQLite, RODBC	leaps	GPL					yes	4.1.0
bigmemory	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.5.36		R (>= 3.2.0),	methods, Rcpp, utils, bigmemory.sri	BH, Rcpp	testthat	biganalytics, bigtabulate	LGPL-3 | Apache License 2.0					yes	4.1.0
bigmemory.sri	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.3			methods			bigmemory, synchronicity	LGPL-3 | Apache License 2.0					no	4.1.0
bigparallelr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.1		foreach	"bigassertr (>= 0.1.1), doParallel, flock, parallel,
parallelly, RhpcBLASctl"		testthat, covr		GPL-3					no	4.1.0
bigreadr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.4			bigassertr (>= 0.1.1), data.table, parallelly, Rcpp, utils	Rcpp	spelling, testthat, covr, RSQLite		GPL-3					yes	4.1.0
bigsnpr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.8.1		R (>= 3.3), bigstatsr (>= 1.2.2)	"bigassertr (>= 0.1.3), bigparallelr, bigsparser (>= 0.4.3),
bigreadr, bigutilsr (>= 0.3.3), data.table, foreach, ggplot2,
magrittr, Matrix, methods, Rcpp, stats, vctrs"	"bigsparser, bigstatsr, Rcpp, RcppArmadillo (>= 0.9.600),
rmio"	"bindata, covr, dbplyr (>= 1.4), dplyr, gaston, glue, Hmisc,
pcadapt (>= 4.1), rmutil, RSpectra, RSQLite, R.utils, spelling,
testthat, tibble, xgboost"		GPL-3					yes	4.1.0
bigsparser	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.4.4		R (>= 3.1)	Rcpp, bigassertr, methods	Rcpp, RcppEigen, rmio (>= 0.2)	Matrix, testthat (>= 2.1.0)		GPL-3					yes	4.1.0
bigstatsr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.5.1		R (>= 3.3)	"bigassertr (>= 0.1.1), bigparallelr (>= 0.2.3), cowplot,
foreach, ggplot2 (>= 3.0), graphics, methods, ps (>= 1.4),
Rcpp, RSpectra, stats, tibble, utils"	Rcpp, RcppArmadillo, rmio (>= 0.1.3)	"biglasso, bigmemory (>= 4.5.33), bigreadr (>= 0.2), covr,
data.table, dplyr, glmnet, hexbin, memuse, ModelMetrics, ppcor,
RhpcBLASctl, spelling (>= 1.2), testthat"		GPL-3					yes	4.1.0
bigutilsr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.4			"bigassertr (>= 0.1.1), bigparallelr (>= 0.2.3), nabor, Rcpp,
robustbase, RSpectra, stats"	Rcpp	covr, Gmedian, mvtnorm, rrcov, spelling, testthat (>= 2.1.0)		GPL-3					yes	4.1.0
BinaryDosage	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.0			Rcpp, digest, prodlim	Rcpp	knitr, rmarkdown, testthat (>= 2.1.0), covr		GPL-3					yes	4.1.0
bindr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.1					testthat		MIT + file LICENSE					no	4.1.0
bindrcpp	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.2			bindr (>= 0.1.1), Rcpp (>= 0.12.16)	plogr, Rcpp	testthat		MIT + file LICENSE					yes	4.1.0
bio3d	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.4-2		R (>= 3.1.0)	Rcpp, parallel, grid, graphics, grDevices, stats, utils	Rcpp	"XML, RCurl, lattice, ncdf4, igraph, bigmemory, knitr,
rmarkdown, testthat (>= 0.9.1), httr, msa, Biostrings"		GPL (>= 2)					yes	4.1.0
BiocManager	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.30.15			utils		BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr		Artistic-2.0					no	4.1.0
BiocParallel.FutureParam	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.1		R (>= 3.3.0), future (>= 1.21.0), BiocParallel (>= 1.6.0)	methods		markdown, R.rsp		LGPL (>= 2.1)					no	4.1.0
BisqueRNA	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.5		R (>= 3.5.0)	Biobase, limSolve, methods, stats		Seurat, plyr, knitr, rmarkdown, testthat		GPL-3					no	4.1.0
bit	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.0.4		R (>= 2.9.2)			"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)"		GPL-2 | GPL-3					yes	4.1.0
bit64	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.0.5		R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats					GPL-2 | GPL-3					yes	4.1.0
bitops	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-7							GPL (>= 2)					yes	4.1.0
blob	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.1			methods, rlang, vctrs (>= 0.2.1)		covr, crayon, pillar (>= 1.2.1), testthat		GPL-3					no	4.1.0
BMA	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.18.15		survival, leaps, robustbase, inline, rrcov	methods		MASS		GPL (>= 2)					yes	4.1.0
BradleyTerry2	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-2		R (>= 2.10)	brglm, gtools, lme4 (>= 1.0), qvcalc, stats		prefmod, testthat	gnm	GPL (>= 2)					no	4.1.0
brew	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0-6							GPL-2						4.1.0
brglm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.7.2		R (>= 2.6.0), profileModel			MASS		GPL (>= 2)					yes	4.1.0
bridgesampling	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-2		R (>= 3.0.0)	"mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods"		"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack"		GPL (>= 2)					no	4.1.0
brio	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1.2					testthat (>= 2.1.0), covr		MIT + file LICENSE					yes	4.1.0
Brobdingnag	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2-6		R (>= 2.13.0), methods					GPL					no	4.1.0
broom	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.7.6		R (>= 3.1)	"backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0)"		"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.8.1), gam (>=
1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm, Hmisc,
irlba, joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps,
lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, Rchoice, rgeos, rmarkdown, robust, robustbase,
rsample, sandwich, sp, spdep, spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo"		MIT + file LICENSE					no	4.1.0
BSDA	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.0		lattice, R (>= 2.10)	e1071		ggplot2 (>= 2.1.0), dplyr, tidyr		GPL (>= 2)					no	4.1.0
bslib	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2.5.1		R (>= 2.10)	"grDevices, htmltools (>= 0.5.1), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, magrittr"		"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl"		MIT + file LICENSE					no	4.1.0
ca	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.71.1		R (>= 3.0.0)			rgl (>= 0.64-10), vcd		GPL					no	4.1.0
cachem	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.5			rlang, fastmap		testthat		MIT + file LICENSE					yes	4.1.0
Cairo	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.5-12.2		R (>= 2.4.0)	grDevices, graphics		png	FastRWeb	GPL-2					yes	4.1.0
calibrate	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.7.7		R (>= 3.5.0), MASS					GPL-2					no	4.1.0
callr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.7.0			processx (>= 3.5.0), R6, utils		"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)"		MIT + file LICENSE					no	4.1.0
capushe	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1.1		methods, graphics, MASS					GPL (>= 2.0)					no	4.1.0
car	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.0-10		R (>= 3.5.0), carData (>= 3.0-0)	"abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme"		"alr4, boot, coxme, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey"		GPL (>= 2)					no	4.1.0
carData	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.0-4		R (>= 3.5.0)					GPL (>= 2)					no	4.1.0
carrier	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1.0		R (>= 3.1.0)	pryr, rlang (>= 0.2.2)		testthat, covr		GPL-3					no	4.1.0
catdata	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.2		MASS			"rms, qvcalc, glmmML, nnet, pscl, VGAM, gee, mlogit, Ecdat,
geepack, mgcv, rpart, party, ordinal, lme4, vcdExtra, glmnet,
mboost, class, e1071, flexmix, lpSolve, GAMBoost, penalized"		GPL-2					no	4.1.0
caTools	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.18.2		R (>= 3.6.0)	bitops		MASS, rpart		GPL-3					yes	4.1.0
cause	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.0			"Rcpp, RcppParallel, mixsqp (>= 0.3-43), numDeriv, ashr, dplyr,
ggplot2, scales, gridExtra, loo (>= 2.3.0), matrixStats, purrr,
tidyr, intervals, readr"	Rcpp, RcppParallel	testthat		GPL (>= 2)					yes	4.1.0
ccdrAlgorithm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.0.5		R (>= 3.2.3)	sparsebnUtils (>= 0.0.5), Rcpp (>= 0.11.0), stats, utils	Rcpp	testthat, graph, igraph, Matrix		GPL (>= 2)					yes	4.1.0
cdata	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1.9		R (>= 3.4.0), wrapr (>= 2.0.2)	rquery (>= 1.4.5), rqdatatable (>= 1.2.8), methods, stats		DBI, RSQLite, knitr, rmarkdown, yaml, tinytest		GPL-2 | GPL-3					no	4.1.0
celldex	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.0		SummarizedExperiment	"utils, ExperimentHub, AnnotationHub, AnnotationDbi, S4Vectors,
DelayedArray, DelayedMatrixStats"		testthat, knitr, rmarkdown, BiocStyle, DT		GPL-3					no	4.1.0
cellranger	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1.0		R (>= 3.0.0)	rematch, tibble		covr, testthat (>= 1.0.0), knitr, rmarkdown		MIT + file LICENSE					no	4.1.0
cem	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1.29		tcltk, lattice	MatchIt, combinat, randomForest, nlme		Amelia(>= 1.2-0)		GPL-2					no	4.1.0
changepoint	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.2.2		R(>= 3.1), methods, stats, zoo(>= 0.9-1)			testthat		GPL					yes	4.1.0
checkmate	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0.0		R (>= 3.0.0)	backports (>= 1.1.0), utils		"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble"		BSD_3_clause + file LICENSE					yes	4.1.0
chemometrics	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4.2		R (>= 2.10), rpart	"class, e1071, MASS, nnet, pcaPP, robustbase, som, lars, pls,
mclust"		gclus		GPL (>= 3)					no	4.1.0
chromoMap	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3.1		R (>= 4.0)	htmltools (>= 0.3.6), htmlwidgets (>= 1.0)		knitr, rmarkdown		GPL-3 | file LICENSE					no	4.1.0
chron	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.3-56		R (>= 2.12.0)	graphics, stats		scales, ggplot2	zoo	GPL-2					yes	4.1.0
circlize	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.4.12		R (>= 3.0.0), graphics	"GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid"		"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier"		MIT + file LICENSE					no	4.1.0
CircStats	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.2-6		MASS, boot					GPL-2					no	4.1.0
circular	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.4-93		R (>= 3.0.0), stats	boot, mvtnorm				GPL-2					yes	4.1.0
Ckmeans.1d.dp	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	4.3.3			Rcpp, Rdpack (>= 0.6-1)	Rcpp	testthat, knitr, rmarkdown		LGPL (>= 3)					yes	4.1.0
classInt	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.4-3		R (>= 2.2)	grDevices, stats, graphics, e1071, class, KernSmooth		spData (>= 0.2.6.2), units, knitr, rmarkdown		GPL (>= 2)					yes	4.1.0
cli	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.5.0		R (>= 2.10)	glue, utils		"callr, covr, grDevices, htmlwidgets, knitr, methods, mockery,
ps (>= 1.3.4.9000), rmarkdown, rstudioapi, prettycode (>=
1.1.0), testthat, tibble, withr"		MIT + file LICENSE					no	4.1.0
clipr	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.7.1			utils		"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)"		GPL-3					no	4.1.0
clisymbols	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.0					testthat		MIT + file LICENSE					no	4.1.0
